publications,somme_partages,moyenne_partages,somme_reactions,moyenne_reactions,somme_commentaires,somme_likes_commentaires,somme_commentaires_commentaires,moyenne_commentaires,engagement_total,engagement_moyen,mois
23993,999119,41.6421,2017243,84.0763,508165,357771,591805,60.7569,4474103,186.4753,2018-01
10308,312373,30.3039,691895,67.1221,181810,94786,150951,41.4772,1431815,138.9033,2017-12
6079,289221,47.5771,547822,90.1171,135405,71038,133752,55.9623,1177238,193.6565,2017-11
4417,173821,39.3527,349186,79.0550,91551,49578,82266,50.5762,746402,168.9839,2017-10
4913,286346,58.2833,562676,114.5280,145144,82504,125148,71.8087,1201818,244.6200,2017-09
4230,225966,53.4199,433610,102.5083,101540,55924,103508,61.6955,920548,217.6236,2017-08
4015,187168,46.6172,265610,66.1544,62449,33067,51764,36.6824,600058,149.4540,2017-07
5627,304648,54.1404,497792,88.4649,117148,50860,113545,50.0361,1083993,192.6414,2017-06
5553,458815,82.6247,562497,101.2961,132138,58663,123207,56.5475,1335320,240.4682,2017-05
4448,200829,45.1504,344479,77.4458,82666,37830,68949,42.5911,734753,165.1873,2017-04
6045,511668,84.6432,661234,109.3853,138525,63508,147685,57.8524,1522620,251.8809,2017-03
4853,310657,64.0134,510847,105.2642,104107,56099,122165,58.1848,1103875,227.4624,2017-02
4444,224259,50.4633,365579,82.2635,71160,35529,79350,41.8630,775877,174.5898,2017-01
5425,385233,71.0107,553699,102.0643,104097,49051,96035,45.9324,1188115,219.0074,2016-12
5135,353679,68.8761,548311,106.7792,106012,43639,109455,50.4588,1161096,226.1141,2016-11
4484,165565,36.9235,284822,63.5196,58046,22132,51812,29.4358,582377,129.8789,2016-10
5169,317552,61.4339,455257,88.0745,94813,42764,100086,45.9785,1010472,195.4869,2016-09
4041,219109,54.2215,412258,102.0188,72938,35951,80516,46.8708,820772,203.1111,2016-08
3646,258333,70.8538,250265,68.6410,55138,19604,43567,32.4490,626907,171.9438,2016-07
5098,234878,46.0726,387587,76.0273,79574,36896,94395,41.3623,833330,163.4621,2016-06
4605,303166,65.8341,380761,82.6843,63936,35465,75660,38.0154,858988,186.5338,2016-05
4284,193904,45.2624,338524,79.0205,66335,27431,71994,38.6928,698188,162.9757,2016-04
5669,340080,59.9894,480447,84.7499,90949,49427,121054,46.1157,1081957,190.8550,2016-03
4653,263475,56.6248,379950,81.6570,77371,42730,110802,49.6245,874328,187.9063,2016-02
3963,237427,59.9109,292343,73.7681,51881,31671,71487,39.1216,684809,172.8007,2016-01
5218,322317,61.7702,442530,84.8084,78222,42098,99563,42.1393,984730,188.7179,2015-12
5060,313189,61.8951,495422,97.9095,67731,40597,114224,43.9826,1031163,203.7872,2015-11
5277,241591,45.7819,358499,67.9361,64743,39629,111959,40.9951,816421,154.7131,2015-10
5237,253815,48.4657,415007,79.2452,72152,40108,113786,43.1633,894868,170.8742,2015-09
3952,179148,45.3310,309598,78.3396,60498,32298,97997,48.2776,679539,171.9481,2015-08
3622,148120,40.8945,232719,64.2515,39443,17942,51904,30.1737,490128,135.3197,2015-07
4406,216704,49.1838,350964,79.6559,61619,31079,108144,45.5837,768510,174.4235,2015-06
4409,178905,40.5772,294772,66.8569,51957,24433,80963,35.6890,631030,143.1232,2015-05
4427,188178,42.5069,318347,71.9103,55058,27668,97052,40.6094,686303,155.0267,2015-04
5036,149443,29.6749,307744,61.1088,61656,33465,108993,40.5310,661301,131.3147,2015-03
4166,149630,35.9169,245066,58.8253,55828,22854,87538,39.8992,560916,134.6414,2015-02
4170,144093,34.5547,307128,73.6518,42424,22635,75271,33.6523,591551,141.8588,2015-01
4370,151252,34.6114,379126,86.7565,59029,28028,102937,43.4769,720372,164.8449,2014-12
4499,229597,51.0329,368834,81.9813,61738,33087,116007,46.8620,809263,179.8762,2014-11
4719,172822,36.6226,349221,74.0032,59520,24388,109558,40.9972,715509,151.6230,2014-10
4351,161013,37.0060,267397,61.4564,57715,24333,96101,40.9444,606559,139.4068,2014-09
3998,137240,34.3272,262951,65.7706,45917,18490,85916,37.5995,550514,137.6973,2014-08
3725,128133,34.3981,278511,74.7681,43343,12746,69385,33.6843,532118,142.8505,2014-07
3870,145395,37.5698,296817,76.6969,45060,15024,74094,34.6713,576390,148.9380,2014-06
4385,202434,46.1651,375699,85.6782,47889,12614,62029,27.9434,700665,159.7868,2014-05
4638,160324,34.5675,291270,62.8008,62510,17115,94384,37.5181,625603,134.8864,2014-04
4653,126172,27.1163,244644,52.5777,63245,18566,89198,36.7524,541825,116.4464,2014-03
4383,122253,27.8925,297668,67.9142,46565,9165,57021,25.7246,532672,121.5314,2014-02
4219,81989,19.4333,163913,38.8511,41623,10286,44986,22.9663,342797,81.2508,2014-01
4660,83195,17.8530,189874,40.7455,42211,6257,46421,20.3624,367958,78.9609,2013-12
5288,82230,15.5503,185996,35.1732,50168,5198,58358,21.5061,381950,72.2296,2013-11
4985,60929,12.2225,137155,27.5135,40344,3456,42770,17.3661,284654,57.1021,2013-10
4635,58111,12.5374,135399,29.2123,46838,4176,59464,23.8356,303988,65.5853,2013-09
4266,57268,13.4243,114763,26.9018,40723,3391,48594,21.7318,264739,62.0579,2013-08
3889,63813,16.4086,99964,25.7043,34585,2646,33524,18.1936,234532,60.3065,2013-07
4158,68270,16.4190,133170,32.0274,38855,3367,39750,19.7143,283412,68.1607,2013-06
4527,130889,28.9130,131661,29.0835,45196,3380,41141,19.8182,352267,77.8147,2013-05
4315,169234,39.2199,159618,36.9914,50095,2535,40221,21.5182,421703,97.7295,2013-04
4094,80239,19.5992,149314,36.4714,48063,266,50608,24.1663,328490,80.2369,2013-03
3429,72465,21.1330,82821,24.1531,36118,25,41620,22.6780,233049,67.9641,2013-02
3058,33228,10.8659,61689,20.1730,26919,1,29777,18.5405,151614,49.5795,2013-01
